キャンペーン: 敬語ボタン_Search_JP_20260622 (ID: 2144124119)
広告グループ: AG_Exact_HighIntent_JP_ManualCPT (ID: 2149384852)
"開始日: 2026/06/16"
"終了日: 2026/07/15"
通貨: JPY
時間帯: UTC
""

キーワードID,キーワード,マッチタイプ,ステータス,広告グループID,広告グループの名前,CPT入札額,Recommended Max CPT Bid,支出,平均CPA（合計）,平均CPT,平均CPM,1日の平均支出,インプレッション数,タップ数,インストール数（合計),TTR,CR（タップスルー,CR（タップスルー),New Downloads (Total),Redownloads (Total),インストール数（ビュースルー）,Installs (Tap-Through),平均CPA（タップスルー),新規ダウンロード数（ビュースルー),Redownloads (View-Through),新規ダウンロード数（タップスルー),再ダウンロード,予約注文済み（タップスルー）,予約注文済み（ビュースルー）,予約注文済み（合計）
"2279055446","就活メール","EXACT","RUNNING","2149384852","AG_Exact_HighIntent_JP_ManualCPT","103.00","","0.00","0.00","0.00","","","0","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"2279048679","敬語","BROAD","RUNNING","2149384852","AG_Exact_HighIntent_JP_ManualCPT","40.00","","5210.00","6.17","30.65","","","1486","170","845","0.1144","4.9706","0.7353","831","14","720","125","41.68","711","9","120","5","0","0","0"
"2279048691","敬語 変換","EXACT","RUNNING","2149384852","AG_Exact_HighIntent_JP_ManualCPT","103.00","","722.00","72.20","60.17","","","48","12","10","0.25","0.8333","0.5833","10","0","3","7","103.14","3","0","7","0","0","0","0"
"2279055442","敬語変換","EXACT","RUNNING","2149384852","AG_Exact_HighIntent_JP_ManualCPT","103.00","","811.00","62.38","57.93","","","51","14","13","0.2745","0.9286","0.7857","13","0","2","11","73.73","2","0","11","0","0","0","0"
"2279048684","文章 作成","EXACT","RUNNING","2149384852","AG_Exact_HighIntent_JP_ManualCPT","70.00","","0.00","0.00","0.00","","","0","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"2279048685","文章 変換","EXACT","RUNNING","2149384852","AG_Exact_HighIntent_JP_ManualCPT","70.00","","0.00","0.00","0.00","","","0","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"2279048687","文章 校正","EXACT","RUNNING","2149384852","AG_Exact_HighIntent_JP_ManualCPT","70.00","","0.00","0.00","0.00","","","0","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"2279048682","日本語 キーボード","BROAD","RUNNING","2149384852","AG_Exact_HighIntent_JP_ManualCPT","40.00","","6558.00","327.90","37.69","","","5808","174","20","0.03","0.1149","0.1149","20","0","0","20","327.90","0","0","20","0","0","0","0"
"2279048681","日本語 変換","BROAD","RUNNING","2149384852","AG_Exact_HighIntent_JP_ManualCPT","40.00","","0.00","0.00","0.00","","","25","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"2279048689","返信 文","EXACT","RUNNING","2149384852","AG_Exact_HighIntent_JP_ManualCPT","70.00","","0.00","0.00","0.00","","","0","0","0","0.0","0.0","0.0","0","0","0","0","0.00","0","0","0","0","0","0","0"
"","","","","","","","","13503.00","15.15","35.91","","","7481","376","891","0.0503","2.3697","0.4388","877","14","726","165","81.84","717","9","160","5","0","0","0"
